name,ticker,bucket,signal,guru_mix,buffett,graham,greenblatt,raschke,lynch,icahn,ackman,close,sma50,sma200,rsi,dist_hi_pct,near_52w_high,mom_1m,mom_3m,why,earnings_blackout
Petroleo Brasileiro S.A. Petrob,PBR,portfolio,BUY,11.649909238823433,10.59963695529373,25.0,15,10,0,5,5,12.630000114440918,12.454799995422363,12.835850009918213,53.250173309081,17.666232145961157,False,0.056903792136344666,-0.005511787076811658,Ellipsis,False
Petroleo Brasileiro S.A. Petrob,PBR-A,portfolio,BUY,11.649909238823433,10.59963695529373,25.0,15,10,0,5,5,11.664999961853027,11.471100025177002,11.818675017356872,53.86805911633459,16.738045886641412,False,0.05374889642562519,0.00560341191773861,Ellipsis,False
Microsoft Corporation,MSFT,portfolio,BUY,9.983386893264976,18.433547573059904,0.0,10,20,6,0,13,511.55499267578125,511.5175,448.35962478637697,53.86751341354293,7.902604836902792,False,0.014506985925503812,0.052582289456339915,Ellipsis,False
Angi Inc.,ANGI,portfolio,BUY,8.678031878259622,6.092127513038488,11.4,5,15,15,5,0,18.110000610351562,17.31899984359741,16.362399945259096,54.855052763239875,37.97945158502627,False,0.057209661272458856,0.1914474235264556,Ellipsis,False
SAAB AB ser. B,SAAB-B.ST,portfolio,BUY,8.31568863125996,12.06275452503984,0.0,7,20,10,0,10,527.0,520.3589965820313,400.46324913024904,52.06517549593868,6.609957221309284,False,0.016981836328967548,0.07529074359711507,Ellipsis,False
LEONARDO,LDO.MI,portfolio,BUY,7.761350956991126,8.945403827964505,0.0,7,20,15,0,3,49.84000015258789,48.00259994506836,42.02165000915527,54.0765711282318,11.28515506968375,False,0.05258715435498251,0.10755555894639768,Ellipsis,False
Park Hotels & Resorts Inc.,PK,portfolio,BUY,5.958408511948298,1.2736340477931938,13.2,5,15,0,5,5,11.970000267028809,11.268799991607667,11.748049988746644,57.60588245946708,26.247685738508252,False,0.0716204284038191,0.1655306459095638,Ellipsis,False
Dorian LPG Ltd.,LPG,portfolio,BUY,5.219229823373517,3.876919293494069,9.0,3,20,0,0,0,31.670000076293945,30.380400047302246,24.811499977111815,53.98280402462218,14.773949929121159,False,0.01279180085304299,0.2693386415978123,Ellipsis,False
"Five9, Inc.",FIVN,portfolio,BUY,4.842460720210065,2.1098428808402594,10.2,0,10,0,5,12,26.55500030517578,26.373100090026856,31.04934995651245,52.53656127551593,46.78356814998502,False,0.04096433033782643,0.00018836415287926123,Ellipsis,False
HENSOLDT AG                   I,HAG.DE,portfolio,BUY,3.9699083953149286,5.479633581259715,0.0,4,20,0,0,0,93.6500015258789,92.19900054931641,70.1637003517151,54.761705462252834,12.476634087963639,False,0.08203348612102546,-0.008994692847842267,Ellipsis,False
Exact Sciences Corporation,EXAS,portfolio,BUY,3.3488540051763405,1.09541602070536,6.0,0,15,0,0,5,53.22999954223633,48.93480010986328,51.35849998474121,59.0235866234323,26.911989284697402,False,0.1403170350094085,0.013132824794166886,Ellipsis,False
"Braze, Inc.",BRZE,portfolio,BUY,3.246260893248051,5.385043572992204,0.0,0,10,0,0,12,32.11000061035156,27.907899856567383,34.303624868392944,64.00104201662667,33.56093649117323,False,0.25748975140901775,0.23595077660219133,Ellipsis,False
Novo Nordisk A/S,NVO,portfolio,HOLD,15.277381218254941,18.169524873019768,17.8,18,5,15,10,13,61.380001068115234,57.121799850463866,73.22285013198852,66.92976102405083,54.60058990118692,False,0.10694319609710723,-0.1196213426070818,Ellipsis,False
VALE S.A.,VALE,portfolio,HOLD,10.154625000000001,9.418500000000002,19.0,15,10,0,5,5,10.920000076293945,10.149400024414062,9.614950008392334,70.93971250197883,9.377594162278644,False,0.11314980725766532,0.1895424524264051,Ellipsis,False
Coca-Cola Company (The),KO,portfolio,HOLD,9.623136978941918,15.072547915767677,2.4000000000000004,10,5,15,0,15,66.49500274658203,68.94509979248046,68.41762487411499,36.04320754887616,10.600961008335611,False,-0.058944249924526626,-0.04652989986501421,Ellipsis,False
KOMERCNI BANKA,KOMB.PR,portfolio,HOLD,9.517625,8.3105,10.2,7,15,15,0,8,1034.0,1034.86,1005.275,48.806813869064534,8.818342151675484,False,-0.021759697256386046,0.026812313803376453,Ellipsis,False
RHEINMETALL AG                I,RHM.DE,portfolio,HOLD,8.417127198969537,14.368508795878148,0.0,10,10,10,0,11,1928.0,1735.67,1362.4954998779297,67.81921235065931,2.773575390821987,False,0.18828967642526973,0.10932105868814723,Ellipsis,False
"Civitas Resources, Inc.",CIVI,portfolio,HOLD,8.255027974537192,6.7201118981487635,22.0,12,0,0,5,0,31.024999618530273,32.11129989624023,36.20527490615845,41.138479571063534,44.64763596639554,False,-0.03858075059102983,0.013888863783083849,Ellipsis,False
"Micron Technology, Inc.",MU,portfolio,HOLD,8.246663549331222,9.626654197324887,4.199999999999999,10,5,15,0,10,163.2100067138672,123.93520095825195,103.18865016937256,76.81461527462855,4.247574282194591,False,0.4095345489541391,0.3369102577482912,Ellipsis,False
CEZ,CEZ.PR,portfolio,HOLD,8.07424400163081,6.736976006523243,14.2,12,10,0,10,0,1260.0,1260.22,1136.5575,41.975390885958156,6.0402684563758395,False,0.012048192771084265,0.026058631921824116,Ellipsis,False
COLT CZ GROUP SE,CZG.PR,portfolio,HOLD,7.32590714178562,5.243628567142479,4.199999999999999,7,15,15,0,5,778.0,735.28,714.425,64.94908997051982,2.261306532663317,False,0.07756232686980602,0.09116409537166903,Ellipsis,False
"Axcelis Technologies, Inc.",ACLS,portfolio,HOLD,7.146799479024897,13.247197916099585,4.800000000000001,10,10,0,0,5,95.93000030517578,79.13380020141602,66.72314994812012,77.11894040104245,12.925477081276288,False,0.22188253337094754,0.44190593815293644,Ellipsis,False
BAE SYSTEMS PLC ORD 2.5P,BA.L,portfolio,HOLD,6.926510682409349,10.306042729637397,6.0,7,15,0,0,8,1951.5,1827.88,1609.8625,64.10273412691558,4.056047197640118,False,0.10912190963341861,0.08356468628539693,Ellipsis,False
thyssenkrupp AG               I,TKA.DE,portfolio,HOLD,6.794565852721671,5.058263410886682,15.4,8,5,0,10,0,11.630000114440918,10.010199966430664,8.073749989271164,75.04756657785406,2.432885570443649,False,0.3230944442449335,0.27970947773635424,Ellipsis,False
