ticker,target_w,target_val,target_shares
PBR,0.0593,1483.21,116
PBR-A,0.0593,1483.21,126
CEZ.PR,0.0462,1155.29,1
ANGI,0.0442,1104.85,61
LDO.MI,0.0395,988.14,20
PK,0.0303,758.6,63
LPG,0.0266,664.49,21
FIVN,0.0247,616.52,23
HAG.DE,0.0202,505.43,5
EXAS,0.0171,426.36,8
AVGO,0.0703,1757.34,5
GSK,0.0624,1560.64,39
SLB,0.0528,1319.04,38
ADBE,0.0494,1235.26,3
PG,0.0491,1228.27,8
LLY,0.0483,1206.31,2
MELI,0.0419,1047.17,0
ORCL,0.0419,1047.17,4
CPB,0.041,1024.85,31
XOM,0.0409,1022.38,9
CVX,0.0379,947.03,6
PLTR,0.0363,908.37,5
NOW,0.0342,854.11,1
TMO,0.0262,655.96,1
