ticker,action,qty,note
PBR-A,BUY,110,to reach 128
PBR,BUY,98,to reach 113
CEZ.PR,SELL,11,to reduce to 1
ANGI,BUY,58,to reach 59
LDO.MI,BUY,18,to reach 19
PK,BUY,38,to reach 61
LPG,BUY,9,to reach 20
FIVN,BUY,21,to reach 23
HAG.DE,BUY,3,to reach 5
EXAS,BUY,7,to reach 8
BRZE,BUY,6,to reach 13
AVGO,BUY,5,to reach 5
GSK,BUY,38,to reach 38
CLX,BUY,12,to reach 12
ADBE,BUY,3,to reach 3
PG,BUY,8,to reach 8
LLY,BUY,2,to reach 2
ORCL,BUY,3,to reach 3
CPB,BUY,30,to reach 30
XOM,BUY,9,to reach 9
CVX,BUY,6,to reach 6
PLTR,BUY,5,to reach 5
NOW,BUY,1,to reach 1
TMO,BUY,1,to reach 1
